,id,username,tweet_text,retweets,location,created_at
0,1326573842022752259,realDonaldTrump,https://t.co/pBndm0Sd3M,17368,"Washington, DC",2020-11-11 17:13:45
0,1326614135958888448,realDonaldTrump,https://t.co/5He4fYU5Jv,10921,"Washington, DC",2020-11-11 19:53:51
0,1326630618831130624,realDonaldTrump,You are looking at BALLOTS! Is this what our Country has come to? https://t.co/cI2ZTItqUi,14002,"Washington, DC",2020-11-11 20:59:21
0,1326662184403865602,realDonaldTrump,WE WILL WIN! https://t.co/rkd8vK6id7,9332,"Washington, DC",2020-11-11 23:04:47
0,1326679385966047236,realDonaldTrump,"Nobody wants to report that Pennsylvania and Michigan didn’t allow our Poll Watchers and/or Vote Observers to Watch or Observe. This is responsible for hundreds of thousands of votes that should not be allowed to count. Therefore, I easily win both states. Report the News!",19526,"Washington, DC",2020-11-12 00:13:08
1,1326673766915641345,realDonaldTrump,"I am pleased to announce that I have given my full support and endorsement to Ronna McDaniel to continue heading the Republican National Committee (RNC). With 72 MILLION votes, we received more votes than any sitting President in U.S. history - and we will win!",22965,"Washington, DC",2020-11-11 23:50:49
2,1326673298692972544,realDonaldTrump,"Everyone is asking why the recent presidential polls were so inaccurate when it came to me. Because they are FAKE, just like much of the Lamestream Media!",25432,"Washington, DC",2020-11-11 23:48:57
0,1326711675165270017,realDonaldTrump,"NOW 73,000,000 LEGAL VOTES! https://t.co/VSNfdzoFkK",29276,"Washington, DC",2020-11-12 02:21:27
0,1326731736131231745,realDonaldTrump,https://t.co/6hNhg0yYkF,11869,"Washington, DC",2020-11-12 03:41:10
0,1326740844427304960,realDonaldTrump,It attempted to alter our election and got caught? https://t.co/J8mcH4SpxG,27297,"Washington, DC",2020-11-12 04:17:21
0,1326884956749127680,realDonaldTrump,"“OK, I’ve seen enough. What’s going to happen to these guys (McCabe, Comey &amp; the gang of treasonous thugs)? @SenJohnKennedy @MariaBartiromo @TheJusticeDept They, and many others, got caught. DO SOMETHING!!!",15632,"Washington, DC",2020-11-12 13:50:00
0,1326894138516774913,realDonaldTrump,"Now 73,000,000 Votes! https://t.co/VSNfdzoFkK",19898,"Washington, DC",2020-11-12 14:26:29
0,1326920264203046915,realDonaldTrump,".@FoxNews daytime ratings have completely collapsed. Weekend daytime even WORSE. Very sad to watch this happen, but they forgot what made them successful, what got them there. They forgot the Golden Goose. The biggest difference between the 2016 Election, and 2020, was @FoxNews!",7403,"Washington, DC",2020-11-12 16:10:18
0,1326926226888544256,realDonaldTrump,"“REPORT: DOMINION DELETED 2.7 MILLION TRUMP VOTES NATIONWIDE. DATA ANALYSIS FINDS 221,000 PENNSYLVANIA VOTES SWITCHED FROM PRESIDENT TRUMP TO BIDEN. 941,000 TRUMP VOTES DELETED. STATES USING DOMINION VOTING SYSTEMS SWITCHED 435,000 VOTES FROM TRUMP TO BIDEN.” @ChanelRion @OANN",53992,"Washington, DC",2020-11-12 16:34:00
0,1327095398712946695,realDonaldTrump,"Must see @seanhannity takedown of the horrible, inaccurate and anything but secure Dominion Voting System which is used in States where tens of thousands of votes were stolen from us and given to Biden. Likewise, the Great @LouDobbs has a confirming and powerful piece!",16002,"Washington, DC",2020-11-13 03:46:13
0,1327103335195938817,realDonaldTrump,"These states in question should immediately be put in the Trump Win column. Biden did not win, he lost by a lot! https://t.co/ywiw6sPicI https://t.co/C1g9LZpMah",12617,"Washington, DC",2020-11-13 04:17:46
1,1327102434351706115,realDonaldTrump,https://t.co/ptKv99S7qp,10911,"Washington, DC",2020-11-13 04:14:11
0,1327279929319432200,realDonaldTrump,"For years the Dems have been preaching how unsafe and rigged our elections have been. Now they are saying what a wonderful job the Trump Administration did in making 2020 the most secure election ever. Actually this is true, except for what the Democrats did. Rigged Election!",14893,"Washington, DC",2020-11-13 15:59:29
0,1327319294057848832,realDonaldTrump,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!",28369,"Washington, DC",2020-11-13 18:35:54
0,1327357477428600832,realDonaldTrump,Will be having a press conference from the Rose Garden in 15 minutes.,3136,"Washington, DC",2020-11-13 21:07:38
0,1327370955577057289,realDonaldTrump,https://t.co/bo3vcckCCO,4323,"Washington, DC",2020-11-13 22:01:11
0,1327376012196384770,realDonaldTrump,https://t.co/f97adSPs5K,17463,"Washington, DC",2020-11-13 22:21:17
0,1327407964404260870,realDonaldTrump,"700,000 ballots were not allowed to be viewed in Philadelphia and Pittsburgh which means, based on our great Constitution, we win the State of Pennsylvania!",2645,"Washington, DC",2020-11-14 00:28:15
0,1327413534901350400,realDonaldTrump,"Georgia Secretary of State, a so-called Republican (RINO), won’t let the people checking the ballots see the signatures for fraud. Why? Without this the whole process is very unfair and close to meaningless. Everyone knows that we won the state. Where is @BrianKempGA?",17959,"Washington, DC",2020-11-14 00:50:23
0,1327438487537246210,realDonaldTrump,Wow. This is exactly what happened to us. Great courage by judge! https://t.co/p86FXdcBl2,20696,"Washington, DC",2020-11-14 02:29:32
1,1327436963658469376,realDonaldTrump,"“The worst thing you can do is bet against Donald Trump, considering what has been done against him. They flooded the zone with mail-in ballots. We need every vote counted, and ferociously.” @PeteHegseth @seanhannity",28459,"Washington, DC",2020-11-14 02:23:29
0,1327493494605295616,realDonaldTrump,"Republican Burgess Owens Defeats Democrat Rep. Ben McAdams in Utah https://t.co/H9NlPQj5yb via @BreitbartNews Great going Burgess, you continue to be a STAR!",1689,"Washington, DC",2020-11-14 06:08:07
1,1327482020008693760,realDonaldTrump,HIGHLY RATED! https://t.co/XTW9HNWltU,9647,"Washington, DC",2020-11-14 05:22:31
